index,k__Bacteria;__;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Tenericutes;c__Mollicutes,Size,Reef_Habitat,Location,ZipCode,Latitude_Longitude
A1,3220,0,0,0,1247,1058,20,0,0,1,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A2,1019,46,0,49,953,3090,7,0,2,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A3,3329,0,0,0,1041,3032,7,0,0,0,Two,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A4,1145,43,0,515,2115,2867,47,0,107,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A5,1949,15,0,6,354,1265,25,0,0,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A6,1125,18,0,31,351,1076,0,0,2,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A7,254,12,0,17,1319,3161,57,0,0,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A8,701,2,0,0,1945,2383,51,0,14,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A9,510,0,0,2,1594,3933,80,0,6,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A10,323,14,0,13,1318,2271,43,0,31,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
B1,1686,3,0,0,1605,2319,64,0,0,0,Two,Rocks,Ponce,716,"17.9724027, -66.6179076"
B2,366,0,0,65,1854,7064,0,0,16,0,Two,Rocks,Ponce,716,"17.964016, -66.609962"
B3,2444,21,0,7,662,2845,14,0,19,0,Three,Rocks,Ponce,716,"17.964016, -66.609962"
C1,151,2,0,0,2595,3710,97,0,19,0,OnePointFive,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
C2,60,0,0,0,1568,1667,38,0,0,0,TwoPointFive,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
C3,1439,9,0,7,743,2112,8,0,6,0,Three,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
C4,382,14,0,102,604,1766,23,0,12,0,FourPointFive,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
C5,212,3,0,16,2843,2912,50,0,32,0,Three,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
D1,508,0,0,12,1594,4010,3,0,59,0,TwoPointFive,Seagrass,Luquillo,773,"18.387573, -65.719616"
D2,531,2,0,7,1056,2960,13,0,258,0,Three,Seagrass,Luquillo,773,"18.387573, -65.719616"
D3,619,8,0,39,1888,4386,43,0,4,0,Three,Seagrass,Luquillo,773,"18.387573, -65.719616"
D4,4646,6,0,18,1572,4151,30,0,0,4,TwoPointFive,Seagrass,Luquillo,773,"18.387573, -65.719616"
D5,414,0,0,4,895,1845,28,0,6,0,TwoPointFive,Seagrass,Luquillo,773,"18.387573, -65.719616"
E1,1555,4,0,0,933,2614,25,0,14,0,ThreePointFive,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E2,198,2,0,0,998,3201,35,0,36,0,Three,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E3,55,0,0,0,1538,4490,10,0,2,0,Three,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E4,6091,0,0,5,924,3091,8,0,12,4,Three,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E6,2360,6,0,5,1361,3038,34,0,0,3,Three,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E7,3216,0,0,4,1337,1521,26,0,0,0,ThreePointFive,Reef Rubble,Culebra,775,"18.302451, -65.309386"
F1,1219,39,0,6,1080,1891,17,0,5,0,TwoPointFive,Rocks,Guayama,784,"17.929801, -66.158912"
F2,315,14,0,0,1332,3771,21,0,0,0,OnePointFive,Rocks,Guayama,784,"17.929801, -66.158912"
G1,1786,0,0,14,1239,2827,27,0,18,0,TwoPointFive,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G2,558,0,0,0,912,3396,23,47,72,0,Three,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G3,140,0,0,0,1036,5414,32,0,121,0,Two,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G4,2687,8,0,6,549,1348,6,0,4,0,TwoPointFive,Spur & Groove Reef,Ceiba,735,"18.218831, -65.604282"
G5,656,0,0,0,972,3692,25,20,5,0,TwoPointFive,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G6,295,9,0,0,1321,3818,38,25,18,0,TwoPointFive,Spur & Groove Reef,Ceiba,735,"18.218831, -65.604282"
G7,3657,5,0,0,544,2137,13,0,3,4,TwoPointFive,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G8,584,0,0,0,1916,3404,66,6,3,0,TwoPointFive,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G9,3187,14,0,2,1318,2950,35,0,2,0,Two,Patch Reef,Ceiba,735,"18.218831, -65.604282"
H1,3713,5,0,0,494,1103,0,0,2,0,Two,Rocks,Guanica,647,"17.934784, -66.957102"
H2,3094,20,14,348,723,2044,0,0,4,2,Three,Rocks,Guanica,647,"17.934784, -66.957102"
H3,1787,0,0,0,890,3392,38,0,2,0,OnePointFive,Rocks,Guanica,647,"17.934784, -66.957102"
