Group 1,Group 2,H,p-value,q-value
Ceiba (n=9),Culebra (n=6),0.055555555555557135,0.8136637157667893,1.0
Ceiba (n=9),Guanica (n=3),0.0769230769230802,0.7815112949987089,1.0
Ceiba (n=9),Guayama (n=2),0.8888888888888928,0.3457785861511592,1.0
Ceiba (n=9),Isabella (n=5),0.2177777777777763,0.6407383818025418,1.0
Ceiba (n=9),Luquillo (n=5),1.2844444444444463,0.25707429868482634,1.0
Ceiba (n=9),Ponce (n=3),0.00854700854701207,0.9263404892511367,1.0
Ceiba (n=9),Rincon (n=10),0.4266666666666694,0.5136291133931227,1.0
Culebra (n=6),Guanica (n=3),0.0,1.0,1.0
Culebra (n=6),Guayama (n=2),0.4444444444444464,0.5049850750938447,1.0
Culebra (n=6),Isabella (n=5),0.30000000000000426,0.5838824207703623,1.0
Culebra (n=6),Luquillo (n=5),0.8333333333333357,0.3613104285261781,1.0
Culebra (n=6),Ponce (n=3),0.06666666666666643,0.7962534147376396,1.0
Culebra (n=6),Rincon (n=10),0.9529411764705884,0.32897177441062164,1.0
Guanica (n=3),Guayama (n=2),0.33333333333333215,0.5637028616507738,1.0
Guanica (n=3),Isabella (n=5),0.02222222222221859,0.8814974521910232,1.0
Guanica (n=3),Luquillo (n=5),0.19999999999999574,0.6547208460185803,1.0
Guanica (n=3),Ponce (n=3),0.04761904761904745,0.8272593465627116,1.0
Guanica (n=3),Rincon (n=10),0.028571428571432023,0.8657723749926134,1.0
Guayama (n=2),Isabella (n=5),0.5999999999999979,0.4385780260810006,1.0
Guayama (n=2),Luquillo (n=5),1.3499999999999979,0.2452781168067699,1.0
Guayama (n=2),Ponce (n=3),0.33333333333333215,0.5637028616507738,1.0
Guayama (n=2),Rincon (n=10),0.41538461538461746,0.5192490622486554,1.0
Isabella (n=5),Luquillo (n=5),2.4545454545454533,0.11718508719813842,1.0
Isabella (n=5),Ponce (n=3),0.02222222222221859,0.8814974521910232,1.0
Isabella (n=5),Rincon (n=10),0.0,1.0,1.0
Luquillo (n=5),Ponce (n=3),1.0888888888888886,0.29671752632205745,1.0
Luquillo (n=5),Rincon (n=10),2.5350000000000037,0.11134688653313994,1.0
Ponce (n=3),Rincon (n=10),0.0,1.0,1.0
