sample-id	total-input-reads	total-retained-reads	reads-truncated	reads-too-short-after-truncation	reads-exceeding-maximum-ambiguous-bases
#q2:types	numeric	numeric	numeric	numeric	numeric
A1	25955	25955	0	0	0
A10	26004	26004	0	0	0
A2	33302	33302	0	0	0
A3	42288	42286	0	0	2
A4	50716	50714	0	0	2
A5	17121	17121	0	0	0
A6	17557	17557	0	0	0
A7	27149	27149	0	0	0
A8	33789	33787	0	0	2
A9	33306	33306	0	0	0
B1	29117	29117	0	0	0
B2	64552	64549	0	0	3
B3	31475	31475	0	0	0
C1	33643	33643	0	0	0
C2	20780	20780	0	0	0
C3	26676	26676	0	0	0
C4	17745	17745	0	0	0
C5	52198	52195	0	0	3
D1	28905	28905	0	0	0
D2	43438	43436	0	0	2
D3	36125	36125	0	0	0
D4	51098	51098	0	0	0
D5	20661	20661	0	0	0
E1	27323	27323	0	0	0
E2	24413	24413	0	0	0
E3	35136	35135	0	0	1
E4	44815	44815	0	0	0
E5	80863	80856	0	0	7
E6	37497	37496	0	0	1
E7	30610	30610	0	0	0
F1	26009	26009	0	0	0
F2	36007	36006	0	0	1
G1	31147	31147	0	0	0
G2	28338	28337	0	0	1
G3	32782	32782	0	0	0
G4	22983	22983	0	0	0
G5	27080	27080	0	0	0
G6	50354	50353	0	0	1
G7	30036	30036	0	0	0
G8	32059	32059	0	0	0
G9	37029	37029	0	0	0
H1	22735	22735	0	0	0
H2	33728	33728	0	0	0
H3	28731	28730	0	0	1
