#Sample ID	Location	Size	Reef_Habitat	Current	Sargassum	Relative_Gut_Content
10E	Culebra	3.5	Reef Rubble	Medium	Some	Normal
8G	Ceiba	2.5	Spur & Groove Reef	High	Abundant	Normal
1D	Luquillo	2.5	Seagrass	Medium	None	Full
500	Culebra	3.5	Reef Rubble	Medium	Some	Normal
13F	Culebra	3	Reef Rubble	Medium	Some	Normal
4H	Guanica	2	Rocks	Low	Some	Normal
10G	Ceiba	2.5	Spur & Groove Reef	High	Abundant	Normal
11E	Culebra	3	Reef Rubble	Medium	Some	Normal
A9	Rincon	3	Rocky Reef	Medium	None	Full
3F2	Guayama	2	Rocks	Low	None	Normal
A2	Rincon	3	Rocky Reef	Medium	None	Full
6D	Luquillo	2.5	Seagrass	Medium	None	Full
11G	Ceiba	2.5	Patch Reef	High	Abundant	Normal
5C	Isabella	4.5	Spur & Groove Reef	High	None	Full
10A	Rincon	2.5	Rocky Reef	Medium	None	Full
12E	Culebra	3.5	Reef Rubble	Medium	Some	Normal
3C	Isabella	2.75	Spur & Groove Reef	High	None	Full
2E	Culebra	3.5	Reef Rubble	Medium	Some	Normal
3F	Guayama	2	Rocks	Low	None	Normal
2C	Isabella	2.5	Spur & Groove Reef	High	None	Full
5E	Culebra	3.5	Reef Rubble	Medium	Some	Normal
6B	Ponce	3	Rocks	Low	None	Normal
A5	Rincon	2	Rocky Reef	Medium	None	Full
A15	Rincon	2.5	Rocky Reef	Medium	None	Normal
2G	Ceiba	2.5	Patch Reef	High	Abundant	Full
9E	Culebra	2.75	Reef Rubble	Medium	Some	Normal
2D	Luquillo	3	Seagrass	Medium	None	Full
B2	Ponce	2	Rocks	Medium	None	Normal
6F	Guayama	3	Rocks	Low	None	Normal
5H	Guanica	3	Rocks	Low	Some	Normal
6H	Guanica	1.5	Rocks	Low	Some	Normal
9G	Ceiba	2.5	Patch Reef	High	Abundant	Normal
A13	Rincon	2.75	Rocky Reef	Medium	None	Full
4G	Ceiba	2.75	Patch Reef	High	Abundant	Normal
13G	Ceiba	2	Patch Reef	High	Abundant	Normal
1F	Guayama	2.5	Rocks	Low	None	Normal
A12	Rincon	2.75	Rocky Reef	Medium	None	Full
8E	Culebra	2.75	Reef Rubble	Medium	Some	Normal
A3	Rincon	2.5	Rocky Reef	Medium	None	Full
12G	Ceiba	2.5	Patch Reef	High	Abundant	Normal
2F	Guayama	1.5	Rocks	Low	None	Normal
6C	Isabella	3	Spur & Groove Reef	High	None	Full
A14	Rincon	2.75	Rocky Reef	Medium	None	Full
3D	Luquillo	2.75	Seagrass	Medium	None	Full
4D	Luquillo	2.5	Seagrass	Medium	None	Full
1C	Isabella	1.5	Spur & Groove Reef	High	None	Full
7G	Ceiba	2	Patch Reef	High	Abundant	Normal
A7	Rincon	2.5	Rocky Reef	Medium	None	Full
3B	Ponce	2	Rocks	Medium	None	Normal
